index,ptr,file_offset,old_length,tokenized_original,plain_japanese,english_markup,status,notes
0,0x0040,0x006A1040,32,ﾌｧｳﾝﾃﾝ･ﾍｯ<EF>の町の入口だ｡[BR]入るか?[END],"ﾌｧｳﾝﾃﾝ･ﾍｯの町の入口だ｡
入るか?",,todo,
1,0x0060,0x006A1060,69,暗い寺院の入口に続く木の床には[BR]恐ろしげな絵柄が彫られている｡[BR]入るか?[END],"暗い寺院の入口に続く木の床には
恐ろしげな絵柄が彫られている｡
入るか?",,todo,
2,0x00A5,0x006A10A5,50,小さい石壁に緑色の苔が生えている｡[BR]井戸水を飲むか?[END],"小さい石壁に緑色の苔が生えている｡
井戸水を飲むか?",,todo,
3,0x00D7,0x006A10D7,34,君の皮膚が魔法の力で頑丈になった![END],君の皮膚が魔法の力で頑丈になった!,,todo,
4,0x00F9,0x006A10F9,33,君の防御ｽｷﾙが魔法の力で高まった![END],君の防御ｽｷﾙが魔法の力で高まった!,,todo,
5,0x011A,0x006A111A,32,君の輝きが魔法の力で高められた![END],君の輝きが魔法の力で高められた!,,todo,
6,0x013A,0x006A113A,32,君の知性が魔法の力で広められた![END],君の知性が魔法の力で広められた!,,todo,
7,0x015A,0x006A115A,117,｢貴殿らに我が丹精の品を[BR] おすそ分けして進ぜよう｡[BR] これこそ貴殿らの戦闘力を高めてくれる[BR] 魔法の練金薬でござる｣[BR]<06><02>▼<06><07>[END],"｢貴殿らに我が丹精の品を
 おすそ分けして進ぜよう｡
 これこそ貴殿らの戦闘力を高めてくれる
 魔法の練金薬でござる｣
▼",,todo,
8,0x01CF,0x006A11CF,97,君たちは偶然ｵｰｸの居留地を見つけた｡[BR]乾いた獣皮に地図と解読不可能な計画が書かれている｡[BR]破壊するか?[END],"君たちは偶然ｵｰｸの居留地を見つけた｡
乾いた獣皮に地図と解読不可能な計画が書かれている｡
破壊するか?",,todo,
9,0x0230,0x006A1230,67,君たちが叩き割ると､[BR]荷馬車は破片とこっぱを飛び散らせて潰れた｡[BR]<02>▼<07>[END],"君たちが叩き割ると､
荷馬車は破片とこっぱを飛び散らせて潰れた｡
▼",,todo,
10,0x0273,0x006A1273,149,ﾁに黄金の天秤が置いてある｡[BR]天秤のかたわらに置かれた巻物に[BR]こう書かれている｡[BR]｢この天秤のｶｯﾉ5000蟆ﾙ<EF>置くと､[BR] 熟練した商人になれます｣[BR]蟆ﾙ<EF>を置くか?[END],"ﾁに黄金の天秤が置いてある｡
天秤のかたわらに置かれた巻物に
こう書かれている｡
｢この天秤のｶｯﾉ5000蟆ﾙ置くと､
 熟練した商人になれます｣
蟆ﾙを置くか?",,todo,
11,0x0308,0x006A1308,24,きらりと輝く魔法の天秤｡[END],きらりと輝く魔法の天秤｡,,todo,
12,0x0320,0x006A1320,116,｢私はﾐｽﾃｨｯｸ･ｱｲの弟子[BR] ｿﾌｨﾅです｡[BR] 坙恤ｨを見通す目福ﾌ力を借り､[BR] 10蟆ﾙ<EF>であなた方の運勢を[BR] 占ってあげましょう｣[BR]払うか?[END],"｢私はﾐｽﾃｨｯｸ･ｱｲの弟子
 ｿﾌｨﾅです｡
 坙恤ｨを見通す目福ﾌ力を借り､
 10蟆ﾙであなた方の運勢を
 占ってあげましょう｣
払うか?",,todo,
13,0x0394,0x006A1394,127,｢伝説上最強といわれる騎士ですら､[BR] <EF>ﾗ袿･ﾛｰ<EF>を倒すことが[BR] できませんでした｡[BR] かの獣を倒した勇者には[BR] 大いなる栄誉が授けられます｣[END],"｢伝説上最強といわれる騎士ですら､
 ﾗ袿･ﾛｰを倒すことが
 できませんでした｡
 かの獣を倒した勇者には
 大いなる栄誉が授けられます｣",,todo,
14,0x0413,0x006A1413,179,｢呪われた冷たい洞窟のｯｸ･ﾅｲﾄが[BR] あなた方にとって最も手ごわい敵と[BR] なるかもしれません｡[BR] 彼は魔女に仕える軍隊を指揮している[BR] のですが､暇な時は楽しみのために[BR] 戦士狩りをしています｣[END],"｢呪われた冷たい洞窟のｯｸ･ﾅｲﾄが
 あなた方にとって最も手ごわい敵と
 なるかもしれません｡
 彼は魔女に仕える軍隊を指揮している
 のですが､暇な時は楽しみのために
 戦士狩りをしています｣",,todo,
